name,category_id,unit
Cloue 3cm,8f1099137e7742b78ec6ae60b73022bb,PIECE
Cloue 4cm,8f1099137e7742b78ec6ae60b73022bb,PIECE
Cloue 5cm,8f1099137e7742b78ec6ae60b73022bb,PIECE
Cloue 6cm,8f1099137e7742b78ec6ae60b73022bb,PIECE
Cloue 7cm,8f1099137e7742b78ec6ae60b73022bb,PIECE
Cloue 8cm,8f1099137e7742b78ec6ae60b73022bb,PIECE
Cloue de tôle,8f1099137e7742b78ec6ae60b73022bb,PIECE
Colle éléphant 1litre,94b6992f86b244d89d4d2fd8711f98eb,PIECE
Colle froide 1litre,94b6992f86b244d89d4d2fd8711f98eb,PIECE
Colle Froide 1litre,94b6992f86b244d89d4d2fd8711f98eb,PIECE
Colle PVC,94b6992f86b244d89d4d2fd8711f98eb,PIECE
Coller froide ½ litre,94b6992f86b244d89d4d2fd8711f98eb,PIECE
Colorant,4c881cedc721421a829a899aaff78405,PIECE
Coude ½,a231af83881c40daa8738de570ff0ee7,PIECE
Coude ¾ métallique,a231af83881c40daa8738de570ff0ee7,PIECE
Coude 110mm,a231af83881c40daa8738de570ff0ee7,PIECE
Coude 50mm,a231af83881c40daa8738de570ff0ee7,PIECE
Coude 63mm,a231af83881c40daa8738de570ff0ee7,PIECE
Coude 80mm,a231af83881c40daa8738de570ff0ee7,PIECE
Coude 90°,a231af83881c40daa8738de570ff0ee7,PIECE
Coude 93385598ca8e41ee8abc6145ff8a64c7 ¾,93385598ca8e41ee8abc6145ff8a64c7,PIECE
Couteau mastique 1’’,4c881cedc721421a829a899aaff78405,PIECE
Couteau mastique 2’’,4c881cedc721421a829a899aaff78405,PIECE
Couteau mastique 3’’,4c881cedc721421a829a899aaff78405,PIECE
Couteau mastique 4’’,4c881cedc721421a829a899aaff78405,PIECE
Cylindre,94b6992f86b244d89d4d2fd8711f98eb,PIECE
Décamètre 10m,94b6992f86b244d89d4d2fd8711f98eb,PIECE
Décamètre 50m,94b6992f86b244d89d4d2fd8711f98eb,PIECE
Disque à coupe gilette,94b6992f86b244d89d4d2fd8711f98eb,PIECE
Disque à coupe Tyrolit,94b6992f86b244d89d4d2fd8711f98eb,PIECE
Disque à Meuler,94b6992f86b244d89d4d2fd8711f98eb,PIECE
Douille socket électrique,93385598ca8e41ee8abc6145ff8a64c7,PIECE
Entonnoir pour gouttière 160mm,a231af83881c40daa8738de570ff0ee7,PIECE
Equerre 8f1099137e7742b78ec6ae60b73022bb,8f1099137e7742b78ec6ae60b73022bb,PIECE
Fer à repasser (à braise),94b6992f86b244d89d4d2fd8711f98eb,PIECE
Fer à repasser ZEC,93385598ca8e41ee8abc6145ff8a64c7,PIECE
Fiche domino,94b6992f86b244d89d4d2fd8711f98eb,PIECE
Fil à ligaturer,94b6992f86b244d89d4d2fd8711f98eb,PIECE
Fil barbelé,94b6992f86b244d89d4d2fd8711f98eb,PIECE
Fil Bougie,94b6992f86b244d89d4d2fd8711f98eb,PIECE
Fusible,93385598ca8e41ee8abc6145ff8a64c7,PIECE
Gant rougeV,20aa62d0b37f490b8d26b11594144837,PIECE
Gilet simple,20aa62d0b37f490b8d26b11594144837,PIECE
Gouttière 140mm,94b6992f86b244d89d4d2fd8711f98eb,PIECE
Houe (KONGO),94b6992f86b244d89d4d2fd8711f98eb,PIECE
Imperméable,94b6992f86b244d89d4d2fd8711f98eb,PIECE
Interrupter,93385598ca8e41ee8abc6145ff8a64c7,PIECE
Jeu de lumière,94b6992f86b244d89d4d2fd8711f98eb,PIECE
L 140mm,94b6992f86b244d89d4d2fd8711f98eb,PIECE
L pour gouttière 160mm,a231af83881c40daa8738de570ff0ee7,PIECE
Lame de Sie,94b6992f86b244d89d4d2fd8711f98eb,PIECE
Listre,93385598ca8e41ee8abc6145ff8a64c7,PIECE
Machette,019915822a97460b87a839a7bd2052a7,PIECE
Machine tyroly (Petit format,94b6992f86b244d89d4d2fd8711f98eb,PIECE
MAE,94b6992f86b244d89d4d2fd8711f98eb,PIECE
Manchon 93385598ca8e41ee8abc6145ff8a64c7 ¾,93385598ca8e41ee8abc6145ff8a64c7,PIECE
Marteau Grand format,019915822a97460b87a839a7bd2052a7,PIECE
Mateau petit format,019915822a97460b87a839a7bd2052a7,PIECE
Mettre déroulant 5m,8f1099137e7742b78ec6ae60b73022bb,PIECE
Mettre Déroulant 7m,8f1099137e7742b78ec6ae60b73022bb,PIECE
Mettre ruban,8f1099137e7742b78ec6ae60b73022bb,PIECE
Niple ½,94b6992f86b244d89d4d2fd8711f98eb,PIECE
Niveau à bulle (No 50),8f1099137e7742b78ec6ae60b73022bb,PIECE
Niveau à bulle (No 60),8f1099137e7742b78ec6ae60b73022bb,PIECE
P38,94b6992f86b244d89d4d2fd8711f98eb,PIECE
Panneau solaire,93385598ca8e41ee8abc6145ff8a64c7,PIECE
Papier de verre carré,019915822a97460b87a839a7bd2052a7,PIECE
Papier de verre Simple,019915822a97460b87a839a7bd2052a7,PIECE
Paprier de verre rond,019915822a97460b87a839a7bd2052a7,PIECE
Parasol,94b6992f86b244d89d4d2fd8711f98eb,PIECE
4c881cedc721421a829a899aaff78405 BASCO ½ litre Noire,4c881cedc721421a829a899aaff78405,PIECE
4c881cedc721421a829a899aaff78405 BASCO ½litre blanc,4c881cedc721421a829a899aaff78405,PIECE
4c881cedc721421a829a899aaff78405 BASCO ½litre Bleu,4c881cedc721421a829a899aaff78405,PIECE
4c881cedc721421a829a899aaff78405 BASCO ½litre Jaune,4c881cedc721421a829a899aaff78405,PIECE
4c881cedc721421a829a899aaff78405 BASCO ½litre Rouge,4c881cedc721421a829a899aaff78405,PIECE
4c881cedc721421a829a899aaff78405 BASCO 4l Bleu,4c881cedc721421a829a899aaff78405,PIECE
4c881cedc721421a829a899aaff78405 BASCO 4l Noire,4c881cedc721421a829a899aaff78405,PIECE
4c881cedc721421a829a899aaff78405 BASCO 4l Rouge,4c881cedc721421a829a899aaff78405,PIECE
4c881cedc721421a829a899aaff78405 BASCO 4litres Blanc,4c881cedc721421a829a899aaff78405,PIECE
4c881cedc721421a829a899aaff78405 BASCO 4litres Bleu,4c881cedc721421a829a899aaff78405,PIECE
4c881cedc721421a829a899aaff78405 BASCO 4litres Jaune,4c881cedc721421a829a899aaff78405,PIECE
4c881cedc721421a829a899aaff78405 BASCO 4litres Noire,4c881cedc721421a829a899aaff78405,PIECE
4c881cedc721421a829a899aaff78405 BASCO 4litres Rouge,4c881cedc721421a829a899aaff78405,PIECE
4c881cedc721421a829a899aaff78405 Latex 20 litres,4c881cedc721421a829a899aaff78405,PIECE
4c881cedc721421a829a899aaff78405 Lavable 20litres,4c881cedc721421a829a899aaff78405,PIECE
4c881cedc721421a829a899aaff78405 Lavable 4litres,4c881cedc721421a829a899aaff78405,PIECE
4c881cedc721421a829a899aaff78405 National 1 litre Blanc ,4c881cedc721421a829a899aaff78405,PIECE
4c881cedc721421a829a899aaff78405 National 1 litre bleu,4c881cedc721421a829a899aaff78405,PIECE
4c881cedc721421a829a899aaff78405 National 1 litre jaune,4c881cedc721421a829a899aaff78405,PIECE
4c881cedc721421a829a899aaff78405 National 1 litre Noire ,4c881cedc721421a829a899aaff78405,PIECE
4c881cedc721421a829a899aaff78405 National 1 litre rouge,4c881cedc721421a829a899aaff78405,PIECE
4c881cedc721421a829a899aaff78405 National 4 litres Blanc ,4c881cedc721421a829a899aaff78405,PIECE
4c881cedc721421a829a899aaff78405 National 4 litres bleu,4c881cedc721421a829a899aaff78405,PIECE
4c881cedc721421a829a899aaff78405 National 4 litres jaune,4c881cedc721421a829a899aaff78405,PIECE
4c881cedc721421a829a899aaff78405 National 4 litres Noire ,4c881cedc721421a829a899aaff78405,PIECE
4c881cedc721421a829a899aaff78405 National 4 litres rouge,4c881cedc721421a829a899aaff78405,PIECE
Pied de chaise,94b6992f86b244d89d4d2fd8711f98eb,PIECE
Pinceau 2’’,93385598ca8e41ee8abc6145ff8a64c7,PIECE
Pinceau 3’’,93385598ca8e41ee8abc6145ff8a64c7,PIECE
Plafonnier METRO,8f1099137e7742b78ec6ae60b73022bb,PIECE
Pointeau,94b6992f86b244d89d4d2fd8711f98eb,PIECE
Pommelle à bois 120mm,94b6992f86b244d89d4d2fd8711f98eb,PIECE
Power bank 10 000mAh,93385598ca8e41ee8abc6145ff8a64c7,PIECE
Power bank 20 000mAh,93385598ca8e41ee8abc6145ff8a64c7,PIECE
Power bank 30 000mAh,93385598ca8e41ee8abc6145ff8a64c7,PIECE
Power bank 40 000mAh,93385598ca8e41ee8abc6145ff8a64c7,PIECE
Projecteur,93385598ca8e41ee8abc6145ff8a64c7,PIECE
PVC Flexible ¾,93385598ca8e41ee8abc6145ff8a64c7,PIECE
Rabot électrique,019915822a97460b87a839a7bd2052a7,PIECE
Rabot No 4,019915822a97460b87a839a7bd2052a7,PIECE
Radio P40,93385598ca8e41ee8abc6145ff8a64c7,PIECE
Rallonge,93385598ca8e41ee8abc6145ff8a64c7,PIECE
Régulateur 20A,93385598ca8e41ee8abc6145ff8a64c7,PIECE
Régulateur 30A,93385598ca8e41ee8abc6145ff8a64c7,PIECE
Rideau,94b6992f86b244d89d4d2fd8711f98eb,PIECE
Rouleau 4c881cedc721421a829a899aaff78405,4c881cedc721421a829a899aaff78405,PIECE
Roulette 4c881cedc721421a829a899aaff78405,4c881cedc721421a829a899aaff78405,PIECE
Salopette,20aa62d0b37f490b8d26b11594144837,PIECE
Sauvetage,20aa62d0b37f490b8d26b11594144837,PIECE
Scie à Boie,019915822a97460b87a839a7bd2052a7,PIECE
Scotch,94b6992f86b244d89d4d2fd8711f98eb,PIECE
Serrure BOVAS,94b6992f86b244d89d4d2fd8711f98eb,PIECE
Serrure KENYS Blanche,94b6992f86b244d89d4d2fd8711f98eb,PIECE
Serrure KENYS Noire,94b6992f86b244d89d4d2fd8711f98eb,PIECE
Serrure RENZ Bleu,94b6992f86b244d89d4d2fd8711f98eb,PIECE
Serrure SORLADO,94b6992f86b244d89d4d2fd8711f98eb,PIECE
Serrure VIRINE,94b6992f86b244d89d4d2fd8711f98eb,PIECE
serrure RENZ rouge,94b6992f86b244d89d4d2fd8711f98eb,PIECE
Serrure Vitrine,94b6992f86b244d89d4d2fd8711f98eb,PIECE
Silicone,94b6992f86b244d89d4d2fd8711f98eb,PIECE
Sport 12V,93385598ca8e41ee8abc6145ff8a64c7,PIECE
Sport 230V,93385598ca8e41ee8abc6145ff8a64c7,PIECE
Spray paint bleu,4c881cedc721421a829a899aaff78405,PIECE
Spray paint Jaune,4c881cedc721421a829a899aaff78405,PIECE
Spray paint Noir,4c881cedc721421a829a899aaff78405,PIECE
Spray paint Rouge,4c881cedc721421a829a899aaff78405,PIECE
Spray paint Vert,4c881cedc721421a829a899aaff78405,PIECE
Stabilisateur (1 000A),93385598ca8e41ee8abc6145ff8a64c7,PIECE
T ½,94b6992f86b244d89d4d2fd8711f98eb,PIECE
bouchon ½,94b6992f86b244d89d4d2fd8711f98eb,PIECE
Tableau divisionaire,93385598ca8e41ee8abc6145ff8a64c7,PIECE
Taloche plastique,8f1099137e7742b78ec6ae60b73022bb,PIECE
Tamis 8X2,8f1099137e7742b78ec6ae60b73022bb,PIECE
Tenaille,8f1099137e7742b78ec6ae60b73022bb,PIECE
Thinner 5litres,4c881cedc721421a829a899aaff78405,PIECE
Tige rideau,94b6992f86b244d89d4d2fd8711f98eb,PIECE
Toile isolante,93385598ca8e41ee8abc6145ff8a64c7,PIECE
Tondeuse,93385598ca8e41ee8abc6145ff8a64c7,PIECE
Triplex,019915822a97460b87a839a7bd2052a7,PIECE
Truelle,8f1099137e7742b78ec6ae60b73022bb,PIECE
Tuyau pvc 93385598ca8e41ee8abc6145ff8a64c7 ¾,93385598ca8e41ee8abc6145ff8a64c7,PIECE
Tuyau pvc souple ¾,93385598ca8e41ee8abc6145ff8a64c7,PIECE
Tuyaux PVC 110 mm,93385598ca8e41ee8abc6145ff8a64c7,PIECE
Tuyaux PVC 63 mm,93385598ca8e41ee8abc6145ff8a64c7,PIECE
Tuyaux PVC 80mm,93385598ca8e41ee8abc6145ff8a64c7,PIECE
Tuyaux PVC 90°,93385598ca8e41ee8abc6145ff8a64c7,PIECE
Vernis 4littres,4c881cedc721421a829a899aaff78405,PIECE
Vernis BASCO ½ litre,4c881cedc721421a829a899aaff78405,PIECE
Verrou 4’’,94b6992f86b244d89d4d2fd8711f98eb,PIECE
W.C Arabe,a231af83881c40daa8738de570ff0ee7,PIECE
